Date,SalesAmount,Promotion,HolidayMonth
2020-01-01,12248,0,0
2020-02-01,13011,0,0
2020-03-01,12722,0,0
2020-04-01,14030,1,0
2020-05-01,7783,0,0
2020-06-01,9131,1,0
2020-07-01,9089,0,0
2020-08-01,10300,0,0
2020-09-01,10464,0,0
2020-10-01,13786,1,0
2020-11-01,9969,0,0
2020-12-01,14534,0,1
2021-01-01,12720,0,0
2021-02-01,12724,0,0
2021-03-01,12136,0,0
2021-04-01,10468,0,0
2021-05-01,10279,1,0
2021-06-01,7976,0,0
2021-07-01,8445,0,0
2021-08-01,9810,0,0
2021-09-01,12031,0,0
2021-10-01,10937,0,0
2021-11-01,10834,0,0
2021-12-01,14696,0,1
2022-01-01,16623,1,0
2022-02-01,14336,0,0
2022-03-01,13023,0,0
2022-04-01,11537,0,0
2022-05-01,8800,0,0
2022-06-01,8273,0,0
2022-07-01,9199,0,0
2022-08-01,12043,0,0
2022-09-01,11892,0,0
2022-10-01,11121,0,0
2022-11-01,11812,0,0
2022-12-01,15645,0,1
2023-01-01,13904,0,0
2023-02-01,13901,0,0
2023-03-01,13534,0,0
2023-04-01,12048,0,0
2023-05-01,12949,1,0
2023-06-01,9104,0,0
2023-07-01,10042,0,0
2023-08-01,11566,0,0
2023-09-01,11759,0,0
2023-10-01,11890,0,0
2023-11-01,11770,0,0
2023-12-01,17996,0,1
